,0
0010779,The Thunderbolt
0132324,Colin Campbell
0531806,Katherine MacDonald
0014894,Spottiswoode Aitken
0576762,Thomas Meighan
0822477,Forrest Stanley
0322284,Adda Gleason
0134251,Pomeroy Cannon
0365135,Mrs. L.C. Harris
0085919,Jim Blackwell
0481763,Robert Laidlaw
0247483,B. Reeves Eason Jr.
0330280,James Gordon
0795025,Antrim Short
0010721,Tarnished Reputations
0085133,Herbert Blaché
0349785,Alice Guy
0674600,Léonce Perret
0144293,Dolores Cassinelli
0741182,Alan Roscoe
0219013,Georges Deneubourg
0123679,Ned Burton
0009753,The Vanity Pool
0661844,Ida May Park
0533712,Mary MacLaren
0632160,Anna Q. Nilsson
0390366,Thomas Holding
0756814,Marin Sais
0156346,Virginia Chester
0267916,Franklyn Farnum
0356228,Winter Hall
0115230,Frank Brownlee
0548987,Willis Marks
0847941,Mae Talbot
0008142,The Iron Ring
0002179,George Archainbaud
0486384,Edward Langford
0391837,Gerda Holmes
0039021,Arthur Ashley
0290962,J. Herbert Frank
0534255,George MacQuarrie
0184782,George Cowl
0136884,Alexandria Carewe
0860172,Gladys Thompson
0447855,Victor Kennard
0164964,Richard Clarke
0426718,Katherine Johnston
0016672,The Boob
0920074,William A. Wellman
0647481,Gertrude Olmstead
0037761,George K. Arthur
0001076,Joan Crawford
0614879,Charles Murray
0194988,Tony D'Algy
0003424,Hank Mann
0152362,Edythe Chapman
0518673,Babe London
0589596,Arthur Millett
12784329,Viola Webster
0005300,The Family Cupboard
0186345,Frank Hall Crane
0088476,Holbrook Blinn
0696390,Clinton Preston
0625368,Frances Nelson
0385686,Johnny Hines
0376442,Grace Henderson
0507351,Jessie Lewis
0168916,Estelle Mardo
0923657,Stanhope Wheatcroft
0008827,Amarilly of Clothes-Line Alley
0624714,Marshall Neilan
0681933,Mary Pickford
0779914,William Scott
0696985,Kate Price
0914003,Ida Waterman
0449908,Norman Kerry
0329573,Fred Goodwins
0484838,Margaret Landis
0934232,Tom Wilson
0058191,Wesley Barry
0125331,Frank Butterworth
0352383,George Hackathorne
0543583,Marcia Manon
0795053,Gertrude Short
0822059,Herbert Standing
0824885,Larry Steers
0167032,Gustav von Seyffertitz
0925118,Leo White
0015383,The Sword of Valor
0941562,Duke Worne
0048853,Rex 'Snowy' Baker
0720885,Dorothy Revier
0149974,Percy Challenger
0381455,Eloise Hess
0209523,Stella De Lanti
0496470,Otto Lederer
0147091,Fred Cavens
0664699,Armando Pasquali
0147692,Edward Cecil
3154246,Boomerang the Wonder Horse
0011890,Yes or No
0624756,Roy William Neill
0848232,Norma Talmadge
0123579,Frederick Burton
0792514,Lowell Sherman
0011151,Lionel Adams
0271503,Rockliffe Fellowes
0848231,Natalie Talmadge
0112395,Edward Brophy
0166218,Dudley Clements
0416527,Gladden James
0013503,Pömperly's Kampf mit dem Schneeschuh
0266691,Arnold Fanck
0390479,Holger-Madsen
0070471,Henry Bender
0233328,Josefine Dora
0400412,Gert Hugh
0415329,Antonie Jaeckel
0449146,Ernst Keppler
0466235,Lietta Korff
0549476,Hilde Maroff
0604890,Maud Morgan
0643244,Gustav Oberg
0667319,Lina Paulsen
0745120,Kurt Rothe
0773832,Hannes Schneider
0822303,Marianne Stanior
0898388,Bernhard Villinger
0015966,Kalle Utter
0841889,Karin Swanström
0212333,Anders de Wahl
0089002,Georg Blomstedt
0252476,John Ekman
0014363,Nils Aréhn
0738184,Edit Rolf
0112867,Carl Browallius
0194660,Julia Cæsar
0384815,Linnéa Hillberg
0622379,Gull Natorp
0729959,Olav Riégo
0014489,The Social Buccaneer
0384616,Robert F. Hill
0611804,Jack Mulhall
0515272,Margaret Livingston
0920607,William Welsh
0212097,Harry De Vere
0098424,Wade Boteler
0259012,Lucille Ricksen
0027351,Robert Anderson
0175413,Buck Connors
0163417,Tom London
0102718,Sidney Bracey
0238872,Tote Du Crow
0479007,Fontaine La Rue
0395070,William T. Horne
0671501,Scott Pembroke
0012307,The Idol of the North
0198272,Dorothy Dalton
0041858,Edwin August
0711615,E.J. Ratcliffe
0368748,Riley Hatch
0184801,Jules Cowles
0820748,Florence St. Leonard
0036500,Jessie Arnold
0550619,Marguerite Marsh
0454870,Joe King
0005901,Playing Dead
0237713,Sidney Drew
0237693,Mrs. Sidney Drew
0355510,Donald Hall
0257622,Harry English
0545715,Isadore Marcil
0482115,Alice Lake
0008344,My Little Boy
0933368,Elsie Jane Wilson
0355550,Ella Hall
0064957,Zoe Rae
0425049,Emory Johnson
0390196,Harry Holden
0496477,Gretchen Lederer
0015624,The Big Parade
0896542,King Vidor
0384276,George W. Hill
0318105,John Gilbert
0012395,Renée Adorée
0098376,Hobart Bosworth
0568282,Claire McDowell
0010845,Claire Adams
0643212,Robert Ober
0639855,Tom O'Brien
0199322,Karl Dane
0551347,Rosita Marstini
13692545,Arthur H. Allen
0073239,George Beranger
0188357,Harry Crocker
0426710,Julanne Johnston
0450748,Kathleen Key
0556658,Dan Mason
