,,tensor_edges,max_edges,pos_max_edges,min_edges,pos_min_edges
0,"tensor(838, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.2807e-05,  1.8809e-05,  2.3537e-06,  ...,
                      -1.3168e-06,  3.8899e-02,  2.8014e-06]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",25.110904693603516,"tensor([[  2, 838]])",-23.412635803222656,"tensor([[ 14, 838]])"
1,"tensor(2605, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2826, 2830, 2831]]),
       values=tensor([ 8.3518e-09,  8.0349e-07,  7.1868e-01,  ...,
                      -4.3083e-02,  7.7586e-08,  2.8621e-04]),
       size=(24, 2835), nnz=23544, layout=torch.sparse_coo)",13.459478378295898,"tensor([[  16, 2605]])",-14.49600601196289,"tensor([[   8, 2605]])"
2,"tensor(1657, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   1,    9,   20,  ..., 2772, 2805, 2813]]),
       values=tensor([-1.0743e-02,  2.0958e-01, -4.2474e-03,  ...,
                      -3.8871e-07,  2.1013e-02, -1.7178e-06]),
       size=(24, 2835), nnz=4536, layout=torch.sparse_coo)",4.719866752624512,"tensor([[  14, 2151]])",-6.046966075897217,"tensor([[  1, 820]])"
3,"tensor(2506, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2826, 2830, 2831]]),
       values=tensor([ 2.1957e-07, -1.2823e-07, -3.9657e-07,  ...,
                       1.1269e-07,  9.9996e-08,  9.1086e-04]),
       size=(24, 2835), nnz=23832, layout=torch.sparse_coo)",11.662358283996582,"tensor([[   2, 2561]])",-13.525383949279785,"tensor([[  14, 2561]])"
4,"tensor(883, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.2807e-05,  1.8809e-05,  2.3537e-06,  ...,
                      -1.3168e-06,  3.8899e-02,  2.8014e-06]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",11.329392433166504,"tensor([[  2, 883]])",-12.985574722290039,"tensor([[  1, 820]])"
5,"tensor(720, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2829, 2830, 2831]]),
       values=tensor([ 9.2681e-08,  2.6239e-10, -1.8544e-07,  ...,
                      -3.8942e-03,  2.2625e-02,  1.5867e-03]),
       size=(24, 2835), nnz=24408, layout=torch.sparse_coo)",39.834434509277344,"tensor([[  16, 2708]])",-26.63903045654297,"tensor([[  18, 2708]])"
6,"tensor(769, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.2807e-05,  1.8809e-05,  2.3537e-06,  ...,
                      -1.3168e-06,  3.8899e-02,  2.8014e-06]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",19.284114837646484,"tensor([[  4, 769]])",-30.751049041748047,"tensor([[  8, 769]])"
7,"tensor(1265, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   6,    9,   23,  ..., 2805, 2815, 2822]]),
       values=tensor([ 2.2632e-07, -1.5027e-05,  7.4765e-03,  ...,
                       8.6004e-03, -2.2348e-03, -9.0264e-07]),
       size=(24, 2835), nnz=8040, layout=torch.sparse_coo)",1930.7412109375,"tensor([[  10, 2194]])",-3234.576416015625,"tensor([[   8, 2194]])"
8,"tensor(774, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-1.2848e-05,  1.3724e-05,  1.5113e-06,  ...,
                      -1.6782e-06,  6.8948e-03, -1.0817e-06]),
       size=(24, 2835), nnz=5160, layout=torch.sparse_coo)",125.2007064819336,"tensor([[  18, 1887]])",-78.06382751464844,"tensor([[  14, 1887]])"
9,"tensor(2038, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.2807e-05,  1.8809e-05,  2.3537e-06,  ...,
                      -1.3168e-06,  3.8899e-02,  2.8014e-06]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",23.779178619384766,"tensor([[   1, 2038]])",-30.217227935791016,"tensor([[  18, 2038]])"
10,"tensor(1638, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.2807e-05,  1.8809e-05,  2.3537e-06,  ...,
                      -1.3168e-06,  3.8899e-02,  2.8014e-06]),
       size=(24, 2835), nnz=4800, layout=torch.sparse_coo)",7.962606906890869,"tensor([[  4, 820]])",-12.985574722290039,"tensor([[  1, 820]])"
11,"tensor(111, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.1011e-05,  2.8761e-05,  2.9043e-06,  ...,
                      -4.3178e-06,  1.8633e-02, -4.4859e-06]),
       size=(24, 2835), nnz=5232, layout=torch.sparse_coo)",162.93389892578125,"tensor([[  8, 563]])",-62.81966781616211,"tensor([[ 14, 563]])"
12,"tensor(1995, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2826, 2830, 2831]]),
       values=tensor([-7.5864e-08,  2.6555e-07,  1.3538e-07,  ...,
                      -1.1687e-07, -2.5596e-07, -1.3841e-06]),
       size=(24, 2835), nnz=22464, layout=torch.sparse_coo)",219.03228759765625,"tensor([[   1, 1995]])",-81.45298767089844,"tensor([[   0, 1995]])"
13,"tensor(1739, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.2807e-05,  1.8809e-05,  2.3537e-06,  ...,
                      -1.3168e-06,  3.8899e-02,  2.8014e-06]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",7.962606906890869,"tensor([[  4, 820]])",-12.985574722290039,"tensor([[  1, 820]])"
14,"tensor(1771, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([ 9.1320e-05, -6.1108e-05, -7.2958e-06,  ...,
                       6.2066e-06, -3.2615e-02,  2.8205e-01]),
       size=(24, 2835), nnz=5208, layout=torch.sparse_coo)",15.823786735534668,"tensor([[   4, 1771]])",-16.168672561645508,"tensor([[   7, 1771]])"
15,"tensor(199, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-2.2807e-05,  1.8809e-05,  2.3537e-06,  ...,
                      -1.3168e-06,  3.8899e-02,  2.8014e-06]),
       size=(24, 2835), nnz=4824, layout=torch.sparse_coo)",7.962606906890869,"tensor([[  4, 820]])",-12.985574722290039,"tensor([[  1, 820]])"
16,"tensor(321, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2826, 2830, 2831]]),
       values=tensor([ 9.6484e-08, -3.4963e-08, -1.7719e-07,  ...,
                       5.5685e-08,  3.1130e-08,  4.8840e-07]),
       size=(24, 2835), nnz=23400, layout=torch.sparse_coo)",57.64182662963867,"tensor([[  2, 144]])",-55.96248245239258,"tensor([[ 18, 144]])"
17,"tensor(1157, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   1,    9,   20,  ..., 2772, 2805, 2813]]),
       values=tensor([-1.1768e-01, -2.5515e-05, -1.3735e-06,  ...,
                      -5.0572e-07,  1.2183e-02, -1.4931e-06]),
       size=(24, 2835), nnz=4320, layout=torch.sparse_coo)",45.10349655151367,"tensor([[  14, 2157]])",-19.784080505371094,"tensor([[   2, 2157]])"
18,"tensor(1916, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   2,   13,   63,  ..., 2619, 2789, 2805]]),
       values=tensor([-4.1305e-07, -3.0918e-06,  6.1355e-05,  ...,
                       1.4861e-07,  6.4763e-07,  8.9069e-02]),
       size=(24, 2835), nnz=1584, layout=torch.sparse_coo)",4745.86376953125,"tensor([[   0, 1916]])",-6103.7802734375,"tensor([[  10, 1916]])"
19,"tensor(615, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2826, 2830, 2831]]),
       values=tensor([ 1.8830e-07, -1.0923e-07, -3.4059e-07,  ...,
                       9.7013e-08,  8.6538e-08,  4.5167e-07]),
       size=(24, 2835), nnz=23568, layout=torch.sparse_coo)",8.081274032592773,"tensor([[  18, 1474]])",-4.138580799102783,"tensor([[  14, 1098]])"
20,"tensor(2328, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2826, 2830, 2831]]),
       values=tensor([ 9.2796e-07, -1.2461e-06, -1.6020e-06,  ...,
                       3.4254e-07,  3.6478e-07,  2.3643e-06]),
       size=(24, 2835), nnz=22656, layout=torch.sparse_coo)",15.924155235290527,"tensor([[  1, 820]])",-10.737672805786133,"tensor([[  14, 1324]])"
21,"tensor(2255, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   9,   23,   46,  ..., 2795, 2805, 2822]]),
       values=tensor([-1.4906e-05,  1.2141e-05,  1.5377e-06,  ...,
                      -7.9202e-07,  1.2609e-02,  2.0776e-06]),
       size=(24, 2835), nnz=5256, layout=torch.sparse_coo)",2.5991287231445312,"tensor([[  4, 820]])",-4.238860130310059,"tensor([[  1, 820]])"
22,"tensor(2541, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   0,    3,    4,  ..., 2829, 2830, 2831]]),
       values=tensor([-5.8956e-04,  1.7678e-07, -1.5749e-07,  ...,
                      -2.4355e-03,  3.9395e-08,  5.3904e-07]),
       size=(24, 2835), nnz=24168, layout=torch.sparse_coo)",33.12608337402344,"tensor([[  14, 1067]])",-30.045690536499023,"tensor([[  18, 1067]])"
23,"tensor(381, device='cuda:7')","tensor(indices=tensor([[   0,    0,    0,  ...,   23,   23,   23],
                       [   3,    4,    7,  ..., 2829, 2830, 2831]]),
       values=tensor([ 6.7473e-08,  2.0524e-08, -1.3785e-07,  ...,
                      -4.0175e-05,  3.5462e-08,  4.0051e-05]),
       size=(24, 2835), nnz=25176, layout=torch.sparse_coo)",66.31729888916016,"tensor([[ 14, 752]])",-87.820068359375,"tensor([[  8, 752]])"
