,,tensor_nodes,max_nodes,pos_max_nodes,min_nodes,pos_min_nodes
0,"tensor(567, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 1.2428e-05,  1.4889e-05,  1.2613e-05,  ...,
                      -1.8949e-05, -3.4675e-05, -1.7493e-06]),
       size=(2835,), nnz=1258, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.4939614236354828,2647,-0.006702689453959465,621
1,"tensor(1422, device='cuda:7')","tensor(indices=tensor([[   1,    2,    3,  ..., 2832, 2833, 2834]]),
       values=tensor([-9.6251e-06, -1.3737e-06, -6.1973e-05,  ...,
                       3.7890e-06,  1.8006e-07,  2.3996e-07]),
       size=(2835,), nnz=2020, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.8914841413497925,267,-0.05566234141588211,2647
2,"tensor(1279, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 1.9627e-05,  2.3513e-05,  1.9918e-05,  ...,
                      -2.9924e-05, -5.4759e-05, -2.7625e-06]),
       size=(2835,), nnz=1258, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",1.5961979627609253,2647,-0.8807974457740784,2261
3,"tensor(1352, device='cuda:7')","tensor(indices=tensor([[   1,    2,    3,  ..., 2832, 2833, 2834]]),
       values=tensor([-7.1777e-06, -6.7025e-07,  1.3380e-02,  ...,
                       1.8487e-06,  8.7858e-08, -1.2463e-07]),
       size=(2835,), nnz=2035, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.8518869876861572,267,-0.05463920533657074,2647
4,"tensor(2721, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 1.1870e-05,  1.4221e-05,  1.2047e-05,  ...,
                      -1.8098e-05, -3.3118e-05, -1.6707e-06]),
       size=(2835,), nnz=1258, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.40927940607070923,2647,-0.006401683669537306,621
5,"tensor(601, device='cuda:7')","tensor(indices=tensor([[   1,    2,    3,  ..., 2832, 2833, 2834]]),
       values=tensor([-3.2400e-06, -1.4464e-06, -2.1947e-05,  ...,
                       3.9896e-06,  1.8960e-07,  4.8427e-08]),
       size=(2835,), nnz=2038, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.9285810589790344,267,-0.0882955864071846,2647
6,"tensor(96, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 1.2481e-05,  1.4952e-05,  1.2666e-05,  ...,
                      -1.9029e-05, -3.4822e-05, -1.7567e-06]),
       size=(2835,), nnz=1258, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.5048660635948181,2647,-0.006731044966727495,621
7,"tensor(1301, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 7.8679e-06,  9.4258e-06,  7.9847e-06,  ...,
                      -1.1996e-05, -2.1951e-05, -1.1074e-06]),
       size=(2835,), nnz=1348, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",1.571650505065918,2501,-1.9989376068115234,2515
8,"tensor(1201, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 8.1859e-06,  9.8067e-06,  8.3074e-06,  ...,
                      -1.2480e-05, -2.2838e-05, -1.1522e-06]),
       size=(2835,), nnz=1275, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",4.410196781158447,2501,-3.1418871879577637,2769
9,"tensor(2685, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 1.2240e-05,  1.4664e-05,  1.2422e-05,  ...,
                      -1.8661e-05, -3.4149e-05, -1.7228e-06]),
       size=(2835,), nnz=1258, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.4602348208427429,2647,-0.006601051427423954,621
10,"tensor(2724, device='cuda:7')","tensor(indices=tensor([[   2,    5,    6,  ..., 2831, 2832, 2833]]),
       values=tensor([ 1.2185e-05,  1.4597e-05,  1.2365e-05,  ...,
                      -1.8577e-05, -3.3995e-05, -1.7149e-06]),
       size=(2835,), nnz=1258, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.45317909121513367,2647,-0.0065711261704564095,621
11,"tensor(1692, device='cuda:7')","tensor(indices=tensor([[   1,    2,    5,  ..., 2831, 2832, 2833]]),
       values=tensor([ 3.0444e-05,  1.1583e-05,  1.3876e-05,  ...,
                      -1.7659e-05, -3.2316e-05, -1.6303e-06]),
       size=(2835,), nnz=1361, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.38142380118370056,2647,-0.1926720291376114,2769
12,"tensor(120, device='cuda:7')","tensor(indices=tensor([[   1,    2,    3,  ..., 2832, 2833, 2834]]),
       values=tensor([ 1.9476e-07,  1.2504e-05, -2.2929e-06,  ...,
                      -3.4887e-05, -1.7600e-06,  2.7711e-08]),
       size=(2835,), nnz=1996, layout=torch.sparse_coo,
       grad_fn=<ToSparseBackward0>)",0.5133366584777832,2647,-0.0067436229437589645,621
